Property_ID,Property_Area,Number_of_Windows,Number_of_Doors,Furnishing,Frequency_of_Powercuts,Power_Backup,Traffic_Density_Score,Crime_Rate,Dust_and_Noise,Air_Quality_Index,Neighborhood_Review,Habitability_score,Bungalow,Container Home,Duplex,Single-family home,Once in a day - Evening,Once in a day - Morning,Once in two days
0x68d4,733,2.0,2,0,1.0,0,4.37,0,1,96.0,3.55,71.2,0,0,0,0,1,0,0
0x7d81,737,4.0,2,2,0.0,0,7.45,1,1,121.0,3.81,71.39,0,0,0,0,0,1,0
0x7a57,900,3.0,2,0,2.0,1,6.16,3,1,100.0,1.34,31.46,0,0,0,0,0,1,0
0xb0fb,159,2.0,2,1,0.0,1,6.77,0,1,90.0,4.48,80.65,0,0,0,0,0,1,0
0xaf2f,521,1.0,2,1,0.0,0,4.14,0,1,89.0,4.82,73.51,0,0,0,0,0,0,0
0xc4a,416,3.0,1,0,0.0,1,6.99,0,1,117.0,4.14,72.35,0,0,0,0,1,0,0
0x363e,508,2.0,1,0,0.0,0,6.41,1,1,131.0,4.12,72.19,0,0,0,0,0,0,0
0x71c8,781,4.0,2,2,0.0,0,6.51,0,1,101.0,4.79,84.58,0,0,0,0,0,0,0
0x2a6f,441,2.0,1,2,0.0,0,6.74,0,1,112.0,4.77,85.51,0,0,0,0,0,0,0
0x7188,770,1.0,2,0,1.0,0,4.22,2,1,103.0,2.91,29.97,0,0,0,0,0,0,0
0x6aa8,910,2.0,2,1,0.0,1,7.45,0,1,156.0,4.4,80.14,0,0,0,0,0,1,0
0xae6c,886,2.0,2,1,1.0,0,7.27,0,1,112.0,4.14,85.08,0,0,0,0,0,0,0
0x7bbc,358,3.0,3,2,0.0,0,7.56,0,1,148.0,3.78,73.99,0,0,0,0,0,0,1
0x8930,190,3.0,1,1,1.0,0,7.83,0,1,132.0,3.8,82.12,0,0,0,0,0,1,0
0x1186,247,1.0,2,0,2.0,0,6.02,0,1,83.0,3.24,48.46,0,0,0,0,0,1,0
