Neighborhood_Review,Furnishing,Crime_Rate,Power_Backup,Frequency_of_Powercuts,Property_Area,Habitability_score
3.55,0,0,0,1.0,733,71.2
3.81,2,1,0,0.0,737,71.39
1.34,0,3,1,2.0,900,31.46
4.48,1,0,1,0.0,159,80.65
4.82,1,0,0,0.0,521,73.51
4.14,0,0,1,0.0,416,72.35
4.12,0,1,0,0.0,508,72.19
4.79,2,0,0,0.0,781,84.58
4.77,2,0,0,0.0,441,85.51
2.91,0,2,0,1.0,770,29.97
4.4,1,0,1,0.0,910,80.14
4.14,1,0,0,1.0,886,85.08
3.78,2,0,0,0.0,358,73.99
3.8,1,0,0,1.0,190,82.12
3.24,0,0,0,2.0,247,48.46
4.17,1,1,0,0.0,508,86.66
3.54,2,2,0,0.0,106,88.65
3.56,0,1,0,1.0,451,68.34
4.79,1,0,1,0.0,482,82.88
3.82,1,0,0,1.0,217,72.43
4.26,1,0,0,1.0,362,68.04
4.78,1,0,1,0.0,242,83.08
2.28,0,3,1,0.0,904,40.07
4.16,1,0,0,0.0,168,71.26
3.51,1,2,1,0.0,277,91.24
3.87,1,1,1,0.0,958,74.1
4.17,1,1,1,0.0,538,76.81
4.08,1,0,0,0.0,191,79.4
3.46,0,2,1,0.0,781,77.35
4.43,1,0,0,0.0,263,91.63
3.86,1,1,1,0.0,136,75.3
4.09,1,0,1,1.0,182,82.07
4.16,1,0,0,0.0,491,90.31
1.93,1,1,0,2.0,379,33.07
3.22,2,2,0,0.0,840,72.26
3.36,0,2,0,0.0,265,32.34
3.87,1,1,0,0.0,304,83.23
4.13,1,0,0,0.0,812,88.75
3.87,1,1,1,0.0,684,77.44
4.17,2,1,0,0.0,112,70.87
3.65,2,1,0,1.0,209,78.14
4.15,2,0,0,0.0,497,75.72
4.73,0,0,0,0.0,699,77.41
3.53,1,1,1,1.0,980,75.76
3.79,0,1,0,0.0,559,68.45
3.47,0,1,0,0.0,312,36.48
4.7,1,0,0,0.0,683,73.86
4.15,1,0,0,1.0,407,84.91
3.47,0,1,0,0.0,730,47.11
3.25,1,1,0,1.0,310,79.6
4.72,1,0,0,0.0,604,73.94
3.16,1,1,0,0.0,811,66.97
4.18,0,0,0,1.0,171,63.83
4.79,1,0,0,0.0,239,76.87
3.46,2,0,0,2.0,824,72.47
3.56,1,1,0,0.0,373,78.88
4.7,1,0,0,0.0,207,75.2
2.27,0,2,0,2.0,386,32.41
4.47,1,0,0,0.0,178,68.4
4.14,1,1,1,0.0,621,76.86
4.15,2,1,0,0.0,119,74.28
3.79,1,1,1,0.0,668,74.62
4.09,0,1,0,0.0,998,70.37
4.77,1,0,0,0.0,157,93.48
3.92,0,0,0,1.0,484,63.45
3.78,1,1,0,0.0,802,83.01
4.0,0,0,1,1.0,324,70.25
3.83,1,1,0,0.0,344,66.81
4.79,1,0,0,0.0,825,70.71
3.46,0,0,0,1.0,479,54.54
4.09,1,0,1,1.0,447,78.84
1.98,2,1,0,2.0,151,69.4
4.49,1,0,0,0.0,215,85.41
2.88,0,0,1,2.0,165,79.75
3.52,1,1,0,0.0,708,64.61
4.91,2,0,0,0.0,540,90.16
4.09,1,0,1,1.0,880,78.76
4.08,1,1,0,0.0,950,87.36
4.49,1,0,0,0.0,620,88.54
2.9,1,1,0,2.0,220,59.26
4.17,1,0,0,0.0,474,82.49
3.24,1,1,0,1.0,641,62.38
4.73,1,0,0,0.0,368,68.88
1.87,0,3,0,0.0,357,22.88
4.15,1,0,0,1.0,445,89.65
4.11,2,0,0,1.0,814,73.34
2.9,1,2,0,1.0,618,62.45
3.47,1,1,0,0.0,236,60.35
4.41,1,0,0,0.0,608,83.26
4.13,0,0,0,0.0,934,75.59
3.52,0,1,0,1.0,663,56.14
3.83,0,0,0,1.0,479,73.69
4.79,0,0,0,0.0,692,77.81
3.75,1,0,0,0.0,171,72.63
4.7,1,0,1,0.0,488,82.53
2.29,0,1,0,3.0,731,42.27
4.18,1,1,0,0.0,746,86.26
3.25,1,1,1,0.0,484,86.28
1.91,1,3,0,1.0,435,45.31
4.42,2,0,0,0.0,627,76.95
4.1,1,0,0,1.0,799,76.41
2.83,0,2,0,0.0,240,36.82
4.36,0,0,0,0.0,778,69.75
4.22,1,0,1,1.0,841,91.17
4.42,1,0,0,0.0,784,94.51
3.52,0,2,1,0.0,320,80.45
1.94,1,3,0,1.0,150,25.89
4.09,1,0,0,1.0,233,90.73
3.53,1,1,0,0.0,773,79.68
3.55,0,1,0,1.0,419,72.1
4.16,1,0,1,1.0,442,80.46
3.56,1,1,1,0.0,741,70.07
4.16,0,0,1,1.0,628,77.13
3.49,2,1,0,1.0,617,69.97
4.78,1,0,0,0.0,476,71.05
4.47,2,0,1,0.0,951,87.03
3.44,0,2,0,0.0,368,43.93
3.54,1,0,0,2.0,512,86.58
3.83,0,0,0,1.0,883,77.45
2.26,2,1,1,2.0,905,73.62
3.76,0,1,1,0.0,169,82.15
3.82,1,1,1,0.0,909,77.69
4.07,1,0,0,1.0,921,78.96
3.16,0,1,0,1.0,255,36.17
4.13,0,0,0,1.0,888,65.22
3.45,2,0,1,1.0,339,81.13
2.58,2,0,1,3.0,508,79.31
